VE3VA,Jeff
VE7CC,Lee
VE7SV,Dale
VE9CB,Dave
VJ4O,Keith
VK1A,Bernd
VK1MJ,Bob
VK2BJ,Barry
VK2GR,Allan
VK2IA,Bernd
VK3DBD,David
VK3XU,Drew
VK4CT,John
VK4EMM,John
VK4TT,Keith
VK5FOC,Graeme
VK5GG,Graeme
VK6AA,Bernd
VK6GX,Phil
VK6LW,Kevin
VK6T,Kevin
VK6VZ,Steve
VK7AA,Motoaki
VK7BO,Alan
VK8DX,Motoaki
VK9AA,Bernd
VK9CXF,Nigel
VK9CXJ,Den
VK9NN,Harald
VK9XAB,Andy
VL2G,Allan
VL6M,Phil
VL6T,Steve
VO1AAM,Yuri
VO1AU,Dave
VO2AAA,Dave
VP2EFO,Don
VP2EJT,Bob
VP2EN,Nigel
VP2MKC,David
VP2MTE,Phil
VP5FOC,Jim
VP5K,John
VP8DNB,Harald
VQ5FOC,Jim
VQ9TP,Pete
VU2PTT,Prasad
VU2TJW,Tom
VU3KIE,Jorma
VU40TJW,Tom
VY2IA,Yuri
VY2LF,Steve
VY2NT,Andy
VY2ZM,Jeff
W1AAX,Harry
W1AO,Joe
W1BGD,Pete
W1DV,Dave
W1EBM,Gary
W1FJ,Al
W1FOC,Bruce
W1GF,Greg
W1HT,Ralph
W1JR,Joe
W1MO,Norm
W1RAN,Ned
W1RM,Pete
W1UU,Peter
W1ZT,George
W2FOC,Allen
W2GD,John
W2MV,Alan
W2TB,Mike
W2VT,Rich
W3EEK,Carl
W3FOC,Jim
W3FSA,John
W3IL,Bill
W3IX,Fabio
W3LPL,Frank
W3WJD,Sig
W3YY,Bob
W4BR,John
W4CI,Dave
W4CK,Mark
W4CMG,Cathy
W4EDE,Lee
W4FOA,Tony
W4FOC,Del
W4HG,Wayne
W4MQC,Alan
W4PID,Dick
W4PM,Puck
W4TJE,Jack
W4UHI,Ken
W4YE,Buddy
W4YZC,Buddy
W4ZYT,Don
W5FB,Asa
W5SJ,Bill
W5YA,Fred
W5ZR,Bert
W6OAT,Rusty
W6RGG,Bob
W7AQK,Dave
W7GKF,Bill
W7RF,Dan
W7RN,Tom
W8AV,Goose
W8FJ,John
W8KJP,Del
W8KR,Jack
W8SR,Dave
W8ZR,Jim
W9FOC,Vic
W9KNI,Bob
W9MYD,Ken
W9RGB,Vic
W9SN,Steve
W9VNE,Jim
W9YXX,Bob
WA1FCN,Robert
WA1FOC,Bernie
WA1G,Bruce
WA1SKQ,Rich
WA2USA,Dennis
WA7HJV,Jack
WA9AQN,John
WB2JYM,Tom
WB4FSF,Bonnie
WB6BEE,Don
WB6LQR,Fabian
WB0SND,Mike
W0CCA,Cap
W0CP,Walt
WD8AUB,Doug
WD8LLD,Goose
WF1OC,Pete
WG4FOC,Tom
W0JX,Den
WK2G,Merrill
WL7E,Joe
WP3C,Alfredo
WS1L,Chuck
W0SA,Peter
WS0TA,Fred
W0UA,George
W0VTT,Mike
W0VX,Dave
WW4CW,John
XF2LF,Lee
XP3A,Peter
XQ3CJ,Motoaki
XT2MF,Mike
XT2WP,Fred
XU7AAV,Andy
XU7ABC,Alan
XV9D,Mats
XV9YM,Andy
XW2A,Andy
XX6IK,Manuel
XX9MF,Mike
XX9TXF,Nigel
Y62QH,Joe
YB0LRR,Mats
YJ0MXJ,Den
YJ0TXF,Nigel
YL2TQ,Aldo
YN2GM,Rob
YO2DFA,Orza
YO2NAA,Ady
YO3CD,Mar
YO3FRI,Tina
YO3LR,Cristi
YO6CFB,Laszlo
YO8DOH,Fane
YR80FOC,Cristi
YU1KN,Sasa
YU0HST,Dave
Z35M,Vladimir
Z68BH,Martti
ZB2CW,Derek
ZB2X,Jorma
ZC4MF,Mike
ZC4VJ,Andy
ZC4ZM,Bob
ZD7BG,Gilbert
ZD7VJ,Andy
ZD8A,Glen
ZD8VJ,Andy
ZD9ZM,Bob
ZF1DZ,Yuri
ZF1TW,Tom
ZF2LF,Lee
ZF2MF,Mike
ZF2NT,Bruce
ZF2SY,Dick
ZF8BS,Bruce
ZK1GGR,Allan
ZK2A,Harald
ZK2VJ,Andy
ZL1MH,Mike
ZL2AGY,Tony
ZL2AZ,Pete
ZL2IFB,Gary
ZL3CW,Jacky
ZM1A,Jacky
ZM4G,Gary
ZM6CL,Tony
ZS1C,Raoul
ZS1EL,Vidi
ZS1RBN,Phil
ZS6FOC,Den
